Source,Target,Weight
,", advancement of",1
,", researchers",1
,"Ontario, PrairiesCan and PacifiCan",1
,Summer,1
,Summer School,1
,"additional investments,",1
,algorithm design,1
,and,1
,and clean growth.,1
,and provide,1
,components,1
,deliver,1
,funding,1
,genders,1
,growth.,1
,measured,1
,number of,1
,over,1
,research,1
,the,2
,the U.S. National Science Foundation,1
,to the,1
,which,1
,world-leading,1
,years in,1
,’s,1
", advancement of",and clean growth.,1
", advancement of",growth.,1
", advancement of",’s,1
", export promotion",innovation,1
", researchers",and provide,1
137,137 million,1
137,137 million in provincial funding,1
137,two years to,1
137 million,137 million in provincial funding,1
137 million,two years to,1
137 million in provincial funding,two years to,1
: from,NSA,1
; and solidify,leadership,1
; and solidify,talent; and solidify,1
Alliance,Alliance International,1
Alliance,Council,1
Alliance,Government of Canada,2
Alliance,NQS,1
Alliance,NRC,1
Alliance,NSERC,2
Alliance,NSERC Alliance,1
Alliance,National Research Council of Canada,1
Alliance,Natural Sciences and Engineering Research Council of Canada,1
Alliance,Quantum Research and Development Initiative,1
Alliance,pillar RESEARCH PILLAR Research,1
Alliance International,Council,1
Alliance International,NRC,1
Alliance International,NSERC,1
Alliance International,NSERC Alliance,1
Alliance International,National Research Council of Canada,1
Alliance International,Natural Sciences and Engineering Research Council of Canada,1
Alliance International,Quantum Research and Development Initiative,1
Alliance International,pillar RESEARCH PILLAR Research,1
CFI,Canada Foundation for Innovation,2
CFI,John R. Evans Leaders Fund,1
CFI,SIF,1
CFI,Strategic Innovation Fund,1
CFREF,Canada First Research Excellence Fund,1
CIIP,Canadian International Innovation Program,1
CIIP,Global Affairs Canada,1
CSA,Canadian Space Agency,1
CSA,STDP,1
CSA,Space Technology Development Program,1
Canada Foundation for Innovation,John R. Evans Leaders Fund,1
Canada Foundation for Innovation,SIF,1
Canada Foundation for Innovation,Strategic Innovation Fund,1
Canadian International Innovation Program,Global Affairs Canada,1
Canadian Space Agency,STDP,1
Canadian Space Agency,Space Technology Development Program,1
Council,NRC,1
Council,NSERC,1
Council,NSERC Alliance,1
Council,National Research Council of Canada,1
Council,Natural Sciences and Engineering Research Council of Canada,1
Council,Quantum Research and Development Initiative,1
Council,World Economic Forum,1
Council,pillar RESEARCH PILLAR Research,1
D-Wave,IBM,1
DND,DRDC,1
DND,Defence Research and Development Canada,1
DND,Department of National Defence,1
DND,IDEaS,1
DND,Innovation for Defence Excellence and Security,1
DRDC,Defence Research and Development Canada,1
DRDC,Department of National Defence,1
DRDC,IDEaS,1
DRDC,Innovation for Defence Excellence and Security,1
Defence Research and Development Canada,Department of National Defence,1
Defence Research and Development Canada,IDEaS,1
Defence Research and Development Canada,Innovation for Defence Excellence and Security,1
Department of National Defence,IDEaS,1
Department of National Defence,Innovation for Defence Excellence and Security,1
Directive on Security Management,Government of Canada,1
ESDC,Employment and Social Development Canada,1
ESDC,federal department,1
Employment and Social Development Canada,federal department,1
Federal Government,quantum computing,1
Federal department,GAC,1
Federal department,Global Affairs Canada,1
Federal department,Trade Commissioner Service,1
GAC,Global Affairs Canada,1
GAC,Trade Commissioner Service,1
Global Affairs Canada,Trade Commissioner Service,1
Global Innovation Clusters,ISED,1
Global Innovation Clusters,Innovative Solutions Canada,1
Global Innovation Clusters,NRC,1
Government of Canada,ISC,1
Government of Canada,Invest in Canada,1
Government of Canada,NQS,3
Government of Canada,NSERC,1
Government of Canada,QRDI,1
Government of Canada,Quantum Research and Development Initiative,1
IBM,quantum computing,1
IDEaS,IDEaS Innovation for Defence Excellence and Security,1
IDEaS,Innovation for Defence Excellence and Security,2
IDEaS Innovation for Defence Excellence and Security,Innovation for Defence Excellence and Security,1
ISED,Innovative Solutions Canada,1
ISED,NRC,1
ISED,Statistics Canada,1
"Innovation, Science and Economic Development Canada",National Quantum Strategy,1
Innovative Solutions Canada,NRC,1
Mitacs,NSERC,1
Mitacs,NSERC CREATE,1
Mitacs,TALENT PILLAR Talent,1
NATIONAL QUANTUM STRATEGY,NQS,1
NATIONAL QUANTUM STRATEGY,THE NATIONAL QUANTUM STRATEGY,1
NQS,National Quantum Strategy,1
NQS,THE NATIONAL QUANTUM STRATEGY,1
NQS,The National Quantum Strategy,1
NQS,quantum computing,1
NRC,NSERC,1
NRC,NSERC Alliance,1
NRC,National Research Council of Canada,1
NRC,Natural Sciences and Engineering Research Council of Canada,1
NRC,Quantum Research and Development Initiative,1
NRC,pillar RESEARCH PILLAR Research,1
NSERC,NSERC Alliance,1
NSERC,NSERC CREATE,1
NSERC,National Research Council of Canada,1
NSERC,Natural Sciences and Engineering Research Council of Canada,1
NSERC,Quantum Research and Development Initiative,1
NSERC,TALENT PILLAR Talent,1
NSERC,pillar RESEARCH PILLAR Research,1
NSERC Alliance,National Research Council of Canada,1
NSERC Alliance,Natural Sciences and Engineering Research Council of Canada,1
NSERC Alliance,Quantum Research and Development Initiative,1
NSERC Alliance,pillar RESEARCH PILLAR Research,1
NSERC CREATE,TALENT PILLAR Talent,1
National Quantum Strategy,The National Quantum Strategy,1
National Quantum Strategy,quantum computing,1
National Research Council of Canada,Natural Sciences and Engineering Research Council of Canada,1
National Research Council of Canada,Quantum Research and Development Initiative,1
National Research Council of Canada,pillar RESEARCH PILLAR Research,1
Natural Sciences and Engineering Research Council of Canada,Quantum Research and Development Initiative,1
Natural Sciences and Engineering Research Council of Canada,pillar RESEARCH PILLAR Research,1
"Ontario, PrairiesCan and PacifiCan",deliver,1
"Ontario, PrairiesCan and PacifiCan",funding,1
"Ontario, PrairiesCan and PacifiCan",over,1
"Ontario, PrairiesCan and PacifiCan",years in,1
QRDI,Quantum Research and Development Initiative,1
Quantum Computing,quantum computing,3
Quantum Research and Development Initiative,pillar RESEARCH PILLAR Research,1
Quantum computing,quantum computing,2
SIF,Strategic Innovation Fund,1
STDP,Space Technology Development Program,1
Summer,Summer School,1
Summer,genders,1
Summer,which,1
Summer School,genders,1
Summer School,which,1
The National Quantum Strategy,quantum computing,1
"additional investments,",and,1
"additional investments,",components,1
"additional investments,",the,1
an IDEaS call for,and,1
an IDEaS call for,to,1
and,components,1
and,the,1
and,to,1
and clean growth.,growth.,1
and clean growth.,’s,1
and readiness,development,1
and readiness,new research,1
components,the,1
consideration,of,1
deliver,funding,1
deliver,over,1
deliver,years in,1
development,new research,1
funding,over,1
funding,years in,1
genders,which,1
growth.,’s,1
interns,"interns, universities",1
leadership,talent; and solidify,1
over,years in,1
research,the,1
research,the U.S. National Science Foundation,1
the,the U.S. National Science Foundation,1
value,value proposition,1
